Score, Max Tile, Moves
1068, 128, 459
956, 128, 430
700, 64, 303
872, 64, 385
1520, 128, 483
492, 64, 312
1340, 128, 435
372, 32, 254
1324, 128, 408
1416, 128, 438
620, 64, 306
560, 64, 308
1328, 128, 436
688, 64, 345
680, 64, 365
984, 64, 406
1100, 128, 360
140, 16, 200
584, 64, 327
776, 64, 322
1184, 128, 446
1332, 128, 360
1384, 128, 523
1472, 128, 420
560, 64, 300
1284, 128, 423
764, 64, 336
1356, 128, 475
1188, 128, 394
484, 64, 240
