max_tile,score,total_moves,moves_left,moves_right,moves_up,moves_down,algorithm
512,8612,551,74,197,94,185,Expectimax
1024,15860,927,165,318,140,303,Expectimax
512,7020,478,80,149,53,195,Expectimax
1024,12428,747,105,260,124,257,Expectimax
512,6912,477,49,181,90,156,Expectimax
512,5368,375,58,129,60,127,Expectimax
512,6284,422,58,162,42,159,Expectimax
512,7188,493,99,147,89,157,Expectimax
1024,12104,715,143,224,88,259,Expectimax
1024,16064,951,160,311,164,315,Expectimax
1024,11964,712,91,261,86,273,Expectimax
512,6936,468,64,165,86,152,Expectimax
512,6356,430,80,127,68,154,Expectimax
1024,15192,880,126,324,90,339,Expectimax
1024,12300,739,84,278,106,270,Expectimax
512,7420,518,63,190,74,190,Expectimax
256,3172,262,27,105,33,96,Expectimax
512,7060,481,61,181,74,164,Expectimax
1024,12784,772,131,246,147,247,Expectimax
1024,11460,671,65,267,116,222,Expectimax
1024,15728,906,164,311,72,358,Expectimax
512,5576,398,80,128,48,141,Expectimax
1024,15880,930,131,311,169,318,Expectimax
1024,12048,720,119,243,78,279,Expectimax
512,7800,534,70,204,82,177,Expectimax
1024,16484,985,122,364,143,355,Expectimax
512,7172,494,81,163,60,189,Expectimax
512,6920,471,103,141,58,168,Expectimax
512,7184,496,61,181,81,172,Expectimax
1024,12292,734,104,265,88,276,Expectimax
512,6920,475,67,158,64,185,Expectimax
1024,10632,624,103,211,87,222,Expectimax
1024,12072,711,104,251,93,262,Expectimax
512,7172,493,68,185,51,188,Expectimax
512,8104,566,41,214,118,192,Expectimax
1024,14504,835,124,299,110,301,Expectimax
1024,14792,879,141,305,116,316,Expectimax
512,10940,709,77,289,88,254,Expectimax
256,3124,258,37,93,15,112,Expectimax
512,7416,511,60,205,54,191,Expectimax
512,7112,487,91,174,55,166,Expectimax
512,7096,481,76,170,65,169,Expectimax
